,Complaint Number,Complaint Location Address,Complaint Location City,Complaint Location Zip Code,Vehicle or Stationary,Air Complaint Source Info,Date and Time of Occurrence
2602,COMP‐44098,957 Civic Center Drive,Vista,92083,Vehicle,Other Vehicles,nan
2603,COMP‐44099,15740 Sherman Way,Los Angeles,91406,Stationary Source,Dust,nan
2604,COMP‐44103,3108 Aloha Lane,Chico,95973,Stationary Source,Smoke,11/8/2018 8:00
2605,COMP‐44104,nan,Los Angeles,nan,nan,nan,7/19/2019 12:00
2606,COMP‐44105,9700 Rosedale Highway,Bakersfield,93312,Stationary Source,Gas Stations,7/20/2019 10:30
2607,COMP‐44106,7323 South Alameda Street,Los Angeles,90001,Stationary Source,Painting,nan
2608,COMP‐44107,8939 Leland Avenue,Sacramento,95829,nan,nan,nan
2609,COMP‐44108,5000 La Palma Avenue,La Palma,90623,Stationary Source,Odors,nan
2610,COMP‐44109,nan,nan,nan,Stationary Source,Odors,7/22/2019 0:00
2611,COMP‐44112,2649 Wellington Court,Concord,94520,Stationary Source,Odors,nan
2612,COMP‐44116,2649 Wellington Court,Concord,94520,Stationary Source,Odors,nan
2613,COMP‐44121,nan,Morgan Hill,95037,Stationary Source,Odors,nan
2614,COMP‐44125,8841 Bradley Avenue,Los Angeles,91352,Stationary Source,Odors,nan
2615,COMP‐44126,2029 Alvarado Street,San Leandro,94577,Stationary Source,Painting,nan
2616,COMP‐44127,nan,Los Angeles,90064,Stationary Source,Dust,nan
2617,COMP‐44128,1966 14th Street,Olivehurst,95961,Vehicle,Trucks,nan
2618,COMP‐44130,nan,Los Angeles,91352,Stationary Source,Dust,nan
2619,COMP‐44133,nan,nan,nan,nan,nan,7/25/2019 0:00
