,Complaint Number,Complaint Location Address,Complaint Location City,Complaint Location Zip Code,Vehicle or Stationary,Air Complaint Source Info,Date and Time of Occurrence
296,COMP‐09661,1063 Loma Drive,Hermosa Beach,90254,Stationary Source,Smoke,nan
297,COMP‐09683,1713 Speyer Ln,Redondo Beach,90278,nan,nan,6/29/2016 19:00
298,COMP‐09696,16187 Royal Oak Rd,Los Angeles,91436,nan,nan,6/30/2016 17:00
299,COMP‐09726,"Between Granite Way, Aptos Creek Road, Soquel Drive, and Trout Gulch Rd,",Aptos,95003,Stationary Source,Dust,3/1/2016 7:00
300,COMP‐09735,3930 Broadway,Sacramento,95817,Stationary Source,Other Stationary Sources,nan
301,COMP‐09768,nan,Berkeley,94703,Stationary Source,Dust,6/23/2016 17:00
302,COMP‐09771,nan,Berkeley,94703,Stationary Source,Dust,6/23/2016 17:00
303,COMP‐09792,nan,Westwood,96137,Stationary Source,Smoke,6/30/2008 17:00
304,COMP‐09817,nan,South El Monte,91733,Vehicle,Cars,nan
305,COMP‐09832,nan,Los Angeles,90058,Stationary Source,Dust,12/14/2015 16:00
306,COMP‐09837,2167 E 25th St,Los Angeles,90058,Stationary Source,Dust,10/13/2015 17:00
307,COMP‐09841,2167 E 25th St,Los Angeles,90058,Stationary Source,Dust,6/12/2016 17:00
308,COMP‐09849,Santa Fe Springs Marketplace ‐ South Building,Santa Fe Springs,90606,Vehicle,Trucks,nan
309,COMP‐09855,15069 Valley Boulevard,Fontana,92335,Stationary Source,Painting,7/15/2016 3:00
310,COMP‐09866,nan,nan,nan,Vehicle,Off Road Equipment,nan
311,COMP‐09880,2121 E 25th St,Vernon,90058,Stationary Source,Dust,6/19/2016 17:00
312,COMP‐09883,2121 E 25th St,Los Angeles,90058,Stationary Source,Dust,6/14/2016 17:00
313,COMP‐09890,26540 Jefferson Ave suite F,Murrieta,92562,Stationary Source,Smoke,6/2/2016 6:00
314,COMP‐09893,2100 Garfield Ave,Commerce,90040,Vehicle,Trucks,7/17/2016 17:00
315,COMP‐09901,2121 E 25th St,Los Angeles,90058,Stationary Source,Dust,7/16/2016 17:00
316,COMP‐09905,2121 E 25th St,Vernon,90058,Stationary Source,Dust,6/16/2016 5:00
317,COMP‐09916,I‐5 and Cosumnes River Blvd,Sacramento,95832,Stationary Source,Dust,7/18/2016 17:00
318,COMP‐09921,nan,nan,nan,nan,nan,7/18/2016 17:00
319,COMP‐09923,7621 Auburn Blvd,Citrus Heights,95610,Stationary Source,Painting,nan
320,COMP‐09947,16333 Gale Avenue,City of Industry,91745,Vehicle,nan,7/21/2016 17:00
321,COMP‐09958,188 Farm Lane,Martinez,94553,Stationary Source,Other Stationary Sources,nan
322,COMP‐09969,10771 Black Mountain Rd,San Diego,92126,nan,nan,7/24/2016 17:00
323,COMP‐09976,5503 59th Street,Sacramento,95820,nan,nan,7/24/2016 17:00
324,COMP‐10008,Peninsula Drive,Rancho Palos Verdes,90275,nan,nan,7/27/2016 20:00
325,COMP‐10015,"15445 Valencia Ave, Fontana, CA 92335",Fontana,92335,nan,nan,7/20/2016 5:00
326,COMP‐10023,3705 La Sierra Ave,Riverside,92505,Vehicle,Other Vehicles,nan
327,COMP‐17495,706 Carlsbad Street,Milpitas,95035,nan,nan,4/30/2017 17:00
328,COMP‐17510,1700 State Street,Crescent City,95531,Stationary Source,nan,nan
329,COMP‐17514,388 Capella Way,Milpitas,95035,Stationary Source,Odors,5/2/2017 10:15
330,COMP‐17526,52 Chysis Road,Milpitas,95035,nan,nan,5/2/2017 5:00
331,COMP‐17532,428 Glenmoor Circle,Milpitas,95035,nan,nan,5/1/2017 11:00
332,COMP‐17542,1309 Melody Road,Olivehurst,95961,nan,nan,5/3/2017 17:00
333,COMP‐17544,17051 Green Drive,City of Industry,91745,nan,nan,nan
334,COMP‐17552,333 La Crosse Avenue,Santa Rosa,95409,Stationary Source,Other Stationary Sources,5/4/2017 17:00
335,COMP‐17560,27161 Burbank,Lake Forest,92610,nan,nan,5/5/2017 8:30
336,COMP‐17588,3597 Hancock Street,San Diego,92110,nan,nan,5/3/2017 16:00
337,COMP‐17603,1104 Industrial Avenue,South Lake Tahoe,96150,Stationary Source,Dust,5/1/2017 17:00
338,COMP‐17608,3600 Tiara Court,Bakersfield,93306,Stationary Source,Odors,5/8/2017 17:00
339,COMP‐17621,nan,Milpitas,95035,nan,nan,5/10/2017 9:38
340,COMP‐17623,10127 Foxboro Circle,San Ramon,94583,Vehicle,Cars,nan
341,COMP‐17630,112 West Q Street,Rio Linda,95673,Stationary Source,Smoke,5/12/2017 0:00
342,COMP‐17644,10127 Foxboro Circle,San Ramon,94583,Vehicle,Other Vehicles,5/14/2017 17:00
343,COMP‐17649,nan,McKittrick,93251,Stationary Source,Dust,nan
344,COMP‐17659,1104 Industrial Avenue,South Lake Tahoe,96150,nan,nan,5/15/2017 17:00
345,COMP‐17670,nan,Los Angeles,nan,Stationary Source,Other Stationary Sources,5/15/2017 7:00
346,COMP‐17677,16461 Sherman Way,Los Angeles,91406,Stationary Source,Dust,5/18/2017 5:00
347,COMP‐17690,nan,nan,nan,Vehicle,Trucks,5/18/2017 17:00
348,COMP‐17699,799 North L Street,Needles,92363,nan,nan,nan
349,COMP‐17701,1550 Hidden Creek Lane,Milpitas,95035,Stationary Source,Odors,5/18/2017 15:20
350,COMP‐17714,626 Curtis Street,Albany,94706,nan,nan,5/21/2017 17:00
351,COMP‐17717,nan,Milpitas,95035,nan,nan,5/22/2017 21:20
352,COMP‐18024,nan,Elk Grove,95758,nan,nan,5/15/2017 17:00
353,COMP‐18035,nan,Santa Rosa,95409,Stationary Source,Dust,nan
354,COMP‐18320,nan,Huntington Beach,92648,Stationary Source,Odors,5/26/2017 9:00
355,COMP‐18323,nan,Los Angeles,90018,nan,nan,5/27/2017 9:30
356,COMP‐18328,nan,Fremont,94538,Stationary Source,Odors,5/27/2017 12:30
357,COMP‐18330,nan,Milpitas,95035,Stationary Source,nan,5/27/2017 12:30
358,COMP‐18332,nan,Long Beach,90810,nan,nan,5/26/2017 17:00
359,COMP‐18630,nan,nan,91311,Vehicle,Trucks,3/28/2017 17:00
360,COMP‐18638,nan,San Jose,95112,Stationary Source,Dust,nan
361,COMP‐18663,336 South Rodeo Drive,Beverly Hills,90212,nan,nan,6/2/2017 17:00
362,COMP‐18677,2855 North Main Street,Walnut Creek,94597,Vehicle,Other Vehicles,6/4/2017 19:00
363,COMP‐18686,nan,Los Angeles,90021,Vehicle,Trucks,6/6/2017 1:00
364,COMP‐18688,nan,Palm Springs,92262,nan,nan,nan
365,COMP‐18701,1448 West 52nd Street,Los Angeles,90062,Vehicle,Cars,6/6/2017 11:00
366,COMP‐18722,26871 Sapphire,Mission Viejo,92691,nan,nan,6/11/2017 17:00
367,COMP‐19009,nan,Richmond,94804,Vehicle,Cars,6/9/2017 17:00
368,COMP‐19011,10127 Foxboro Circle,San Ramon,94583,Vehicle,Other Vehicles,6/8/2017 0:30
369,COMP‐19013,18 Paseo Canos,San Clemente,92673,Vehicle,nan,6/9/2017 17:00
370,COMP‐19015,9855 Jamacha Boulevard,Spring Valley,91977,nan,nan,6/10/2017 17:00
371,COMP‐19018,10127 foxboro circle,san Ramon,94583,Vehicle,Other Vehicles,6/10/2017 0:45
372,COMP‐19874,14601 Aetna Street,Los Angeles,91411,nan,nan,6/13/2017 9:00
373,COMP‐19889,nan,San Jose,nan,nan,nan,6/15/2017 13:11
374,COMP‐19894,nan,Maricopa,93252,nan,nan,nan
375,COMP‐19898,nan,Imperial Beach,nan,nan,nan,nan
376,COMP‐19907,14601 Oxnard Street,Los Angeles,91411,nan,nan,6/19/2017 2:00
377,COMP‐19911,14615 Oxnard Street,Los Angeles,91411,nan,nan,6/19/2017 1:30
378,COMP‐20485,2307 Soda Canyon Road,Napa,94558,Stationary Source,Other Stationary Sources,6/20/2017 17:00
379,COMP‐20488,509 Southland,Nipomo,93444,Stationary Source,Odors,6/20/2017 23:53
380,COMP‐20490,509 Southland Street,Nipomo,93444,Stationary Source,Odors,6/20/2017 17:00
381,COMP‐20492,2234 Devon Place,Milpitas,95035,Stationary Source,Odors,6/20/2017 13:50
382,COMP‐20495,221 F Street,Needles,92363,Stationary Source,Other Stationary Sources,nan
383,COMP‐20505,3470 Andrews Drive,Pleasanton,94588,Stationary Source,Painting,5/6/2017 5:00
384,COMP‐20509,5921 Tobias Avenue,Los Angeles,91411,nan,nan,6/22/2017 6:00
385,COMP‐20513,nan,nan,nan,nan,nan,6/22/2017 17:00
386,COMP‐20519,nan,Los Angeles,91411,nan,nan,6/22/2017 17:00
387,COMP‐23035,nan,Los Angeles,91411,nan,nan,6/22/2017 17:00
388,COMP‐23043,nan,Milpitas,95035,nan,nan,6/25/2017 10:24
389,COMP‐23051,nan,Los Angeles,91331,Stationary Source,Smoke,6/25/2017 17:00
390,COMP‐23057,nan,San Fernando,91340,Stationary Source,Smoke,6/26/2017 5:00
391,COMP‐23059,nan,San Fernando,91340,Stationary Source,Odors,6/26/2017 5:00
392,COMP‐23061,nan,San Fernando,91340,Stationary Source,Odors,6/25/2017 17:00
393,COMP‐23063,nan,Los Angeles,91331,Stationary Source,Odors,nan
394,COMP‐23065,nan,Los Angeles,91331,Stationary Source,Odors,6/26/2017 15:21
395,COMP‐23067,nan,Los Angeles,91331,Stationary Source,Odors,nan
396,COMP‐23071,nan,Los Angeles,91331,Stationary Source,Odors,6/25/2017 17:00
397,COMP‐23069,nan,Los Angeles,91331,nan,nan,6/26/2017 5:00
398,COMP‐23073,nan,Los Angeles,nan,nan,nan,6/26/2017 5:00
399,COMP‐23075,nan,Los Angeles,91331,nan,nan,6/25/2017 17:00
400,COMP‐23077,nan,Los Angeles,91331,Stationary Source,Odors,6/25/2017 3:40
401,COMP‐23079,nan,nan,nan,Stationary Source,Odors,6/26/2017 3:07
402,COMP‐23081,6441 Babcock Avenue,Los Angeles,91606,Stationary Source,Odors,6/25/2017 17:00
403,COMP‐23085,13312 Van Nuys Boulevard,Los Angeles,91331,Stationary Source,nan,6/25/2017 18:31
404,COMP‐23369,1705 Curtner Avenue,San Jose,95125,Stationary Source,Odors,nan
405,COMP‐23372,13300 Van Nuys Boulevard,Los Angeles,91331,nan,nan,6/26/2017 5:00
406,COMP‐23374,13101 Larkspur Street,Los Angeles,91342,Stationary Source,nan,6/26/2017 8:00
407,COMP‐23394,4589 Firestone Boulevard,South Gate,90280,nan,nan,6/28/2017 17:00
408,COMP‐23397,10725 Sutter Avenue,Los Angeles,91331,Stationary Source,Odors,6/28/2017 3:00
409,COMP‐23399,10961 Bradley Avenue,Los Angeles,91331,Stationary Source,Odors,6/28/2017 3:16
410,COMP‐23401,10500 Airpark Way,Los Angeles,91331,Vehicle,Other Vehicles,6/28/2017 3:28
411,COMP‐23403,12173 Montague Street,Los Angeles,91331,Stationary Source,Odors,6/28/2017 4:30
412,COMP‐23405,13324 Judd Street,Los Angeles,91331,Stationary Source,Dust,6/28/2017 4:15
413,COMP‐23407,2617 Pine Grove Place,Modesto,95355,Stationary Source,Odors,6/29/2017 1:00
414,COMP‐23409,11266 Peoria Street,Los Angeles,91352,Stationary Source,Odors,6/28/2017 4:46
415,COMP‐23412,11365 Pendleton Street,Los Angeles,91352,Stationary Source,Dust,6/28/2017 4:48
416,COMP‐23414,11359 Tuxford Street,Los Angeles,91352,nan,nan,6/28/2017 3:50
417,COMP‐23416,13634 Paxton Street,Los Angeles,91331,Vehicle,Trucks,6/28/2017 4:24
418,COMP‐23420,13599 Desmond Street,Los Angeles,91331,Stationary Source,Dust,6/28/2017 3:20
419,COMP‐23437,5104 Keane Drive,Carmichael,95608,Stationary Source,Other Stationary Sources,6/30/2017 17:00
420,COMP‐23442,9277 Bendel Place,Elk Grove,95624,nan,nan,2/19/2017 16:00
421,COMP‐23460,test,nan,nan,Vehicle,nan,7/5/2017 17:00
422,COMP‐23462,test,nan,nan,Vehicle,nan,7/5/2017 17:00
423,COMP‐23475,14615 Oxnard Street,Los Angeles,91411,nan,nan,7/6/2017 0:00
424,COMP‐23488,58 Vernon Street,Oakland,94610,Stationary Source,Odors,7/10/2017 10:00
425,COMP‐23493,1033 Fraser Avenue,East Los Angeles,90022,Vehicle,Trucks,nan
426,COMP‐23498,30692 Marilyn Drive,Laguna Beach,92651,Stationary Source,Odors,7/11/2017 4:00
427,COMP‐23511,3806 Turquoise Lane,La Verne,91750,Stationary Source,Asbestos,6/21/2017 1:00
428,COMP‐23519,250 East Telegraph Road,Fillmore,93015,Stationary Source,nan,7/11/2017 17:00
429,COMP‐23531,15200 Grand Avenue,Lake Elsinore,92530,Stationary Source,Other Stationary Sources,7/14/2017 5:00
430,COMP‐23539,7999 Deep Creek Road,Apple Valley,92308,nan,nan,nan
431,COMP‐23542,8950 Lakewood Drive,Windsor,95492,Vehicle,Off Road Equipment,nan
432,COMP‐23548,10560 Oakbend Drive,San Diego,92131,Stationary Source,Dust,7/13/2017 8:20
433,COMP‐23552,10560 Oakbend Drive,San Diego,92131,Stationary Source,Dust,7/13/2017 8:20
434,COMP‐39671,nan,nan,nan,nan,nan,nan
435,COMP‐39672,1136 Hermina Street,Milpitas,95035,nan,nan,8/6/2018 11:00
436,COMP‐39675,nan,Milpitas,95035,nan,nan,8/7/2018 12:30
437,COMP‐39676,680 East Calaveras Boulevard,Milpitas,95035,nan,nan,8/6/2018 17:00
438,COMP‐39678,nan,nan,nan,nan,nan,nan
439,COMP‐39679,nan,nan,nan,nan,nan,nan
440,COMP‐39680,nan,nan,nan,nan,nan,nan
441,COMP‐39681,nan,nan,nan,nan,nan,nan
442,COMP‐39682,nan,nan,nan,nan,nan,nan
443,COMP‐39683,nan,nan,nan,nan,nan,nan
444,COMP‐39684,nan,nan,nan,nan,nan,nan
445,COMP‐39685,nan,nan,nan,nan,nan,nan
446,COMP‐39686,1601 Dixon Landing Road,Milpitas,95035,Stationary Source,Odors,8/7/2018 15:00
447,COMP‐39687,nan,nan,nan,nan,nan,nan
448,COMP‐39688,nan,nan,nan,Stationary Source,Gas Stations,nan
449,COMP‐39690,nan,nan,nan,nan,nan,nan
450,COMP‐39692,nan,nan,nan,nan,nan,nan
451,COMP‐39693,nan,nan,nan,nan,nan,nan
452,COMP‐39694,nan,nan,nan,nan,nan,nan
453,COMP‐39700,nan,nan,nan,nan,nan,nan
454,COMP‐39701,nan,nan,nan,Vehicle,nan,nan
455,COMP‐39703,nan,nan,nan,nan,nan,nan
456,COMP‐39704,nan,nan,nan,nan,nan,nan
457,COMP‐39705,nan,nan,nan,nan,nan,nan
458,COMP‐39706,1451 Gingerwood Drive,Milpitas,95035,nan,nan,8/8/2018 11:00
459,COMP‐39708,nan,Milpitas,95035,Stationary Source,Odors,8/8/2018 14:00
460,COMP‐39709,680 East Calaveras Boulevard,Milpitas,95035,nan,nan,8/9/2018 13:00
461,COMP‐39711,7728 Wilbur Way,Sacramento,95828,nan,nan,8/8/2018 17:00
462,COMP‐39716,1150 Seaside Way,Milpitas,95035,nan,nan,8/9/2018 13:30
463,COMP‐39719,1190 Elkwood Drive,Milpitas,95035,Stationary Source,Odors,8/9/2018 17:00
464,COMP‐39720,2132 Aguilar Court,Milpitas,95035,Stationary Source,Odors,8/10/2018 15:00
465,COMP‐39722,1504 Portola Drive,Milpitas,95035,nan,nan,8/10/2018 10:00
466,COMP‐39723,625 Clyde Court,Milpitas,95035,Stationary Source,Odors,8/10/2018 15:00
467,COMP‐39724,Sandhurst Drive,nan,nan,Stationary Source,Odors,8/10/2018 19:00
468,COMP‐39734,1519 Platt Avenue,Milpitas,95035,nan,nan,8/12/2018 13:48
469,COMP‐39735,2649 Wellington Court,Concord,94520,Stationary Source,Odors,8/12/2018 17:05
470,COMP‐39736,680 East Calaveras Boulevard,Milpitas,95035,nan,nan,8/11/2018 17:00
471,COMP‐39738,nan,nan,nan,nan,nan,nan
472,COMP‐39741,nan,nan,nan,nan,nan,nan
473,COMP‐39742,nan,nan,nan,nan,nan,nan
474,COMP‐39743,nan,nan,nan,nan,nan,nan
475,COMP‐39744,nan,nan,nan,nan,nan,nan
476,COMP‐39745,nan,nan,nan,nan,nan,nan
477,COMP‐39746,nan,nan,nan,nan,nan,nan
478,COMP‐39747,nan,nan,nan,nan,nan,nan
479,COMP‐39749,1049 Linda Vista Avenue,Mountain View,94043,nan,nan,nan
480,COMP‐39750,nan,nan,nan,nan,nan,8/12/2018 17:00
481,COMP‐39755,5455 Production Drive,Huntington Beach,92649,Vehicle,Cars,8/9/2018 6:00
482,COMP‐39761,nan,nan,nan,nan,nan,nan
483,COMP‐39763,nan,nan,nan,nan,nan,nan
484,COMP‐39764,nan,Oxnard,nan,nan,nan,nan
485,COMP‐39765,865 East St,nan,nan,nan,nan,nan
486,COMP‐39774,1840 North Milpitas Boulevard,Milpitas,95035,Stationary Source,Odors,8/17/2018 10:23
487,COMP‐39781,1310 Elkwood Drive,Milpitas,95035,Stationary Source,Odors,8/18/2018 12:00
488,COMP‐39783,1940 Milmont Drive,Milpitas,95035,Stationary Source,Odors,8/18/2018 10:00
489,COMP‐39786,224 Meadowhaven Way,Milpitas,95035,nan,nan,8/19/2018 12:30
490,COMP‐39790,1402 West 243rd Street,Los Angeles,90710,nan,nan,nan
491,COMP‐39791,nan,nan,nan,nan,nan,nan
492,COMP‐39792,nan,nan,nan,nan,nan,nan
493,COMP‐39794,nan,nan,nan,nan,nan,nan
494,COMP‐39795,18311 Bollinger Canyon Road,San Ramon,94583,Stationary Source,Painting,nan
495,COMP‐39796,nan,nan,nan,nan,nan,nan
496,COMP‐39797,nan,nan,nan,Stationary Source,Gas Stations,nan
497,COMP‐39798,nan,nan,nan,Stationary Source,Gas Stations,nan
498,COMP‐39799,nan,nan,nan,nan,nan,nan
499,COMP‐39800,nan,nan,nan,nan,nan,nan
500,COMP‐39801,nan,nan,nan,nan,nan,nan
501,COMP‐39802,nan,nan,nan,nan,nan,nan
502,COMP‐39803,2796 South Railroad Avenue,Fresno,93725,Vehicle,Trucks,8/20/2018 17:00
503,COMP‐39806,1895 Centennial Lane,Angels Camp,95222,Stationary Source,Odors,nan
504,COMP‐39807,9357 Greenback Lane,Orangevale,95662,Stationary Source,Asbestos,8/19/2018 10:00
505,COMP‐39808,3765 Circle Drive,Loomis,95650,Stationary Source,Odors,nan
506,COMP‐39810,4407 Oakhollow Drive,Sacramento,95842,Stationary Source,Odors,8/22/2018 17:00
507,COMP‐39812,nan,nan,nan,nan,nan,nan
508,COMP‐39813,1582 Goodrick Drive,Tehachapi,93561,Stationary Source,Painting,8/23/2018 9:00
509,COMP‐39819,156 South Abel Street,Milpitas,95035,nan,nan,8/24/2018 12:01
510,COMP‐39823,29951 Stonehenge Road,Newberry Springs,92365,Stationary Source,Other Stationary Sources,8/25/2018 17:00
511,COMP‐39825,686 Barber Lane,Milpitas,95035,nan,nan,8/26/2018 13:30
512,COMP‐39826,3276 Colusa Highway,Yuba City,95993,Vehicle,Trucks,8/26/2018 9:00
513,COMP‐39830,1901 Echo Park Avenue,Los Angeles,90026,nan,nan,8/26/2018 17:00
514,COMP‐39833,nan,nan,nan,nan,nan,nan
515,COMP‐39834,nan,nan,nan,nan,nan,nan
516,COMP‐39835,4870 Warwick Avenue,Sacramento,95820,Stationary Source,Asbestos,4/30/2018 17:00
517,COMP‐39836,nan,nan,nan,nan,nan,nan
518,COMP‐39837,nan,nan,nan,nan,nan,nan
519,COMP‐39838,nan,nan,nan,nan,nan,nan
520,COMP‐39840,nan,Moreno Valley,92553,Stationary Source,Other Stationary Sources,9/17/2017 1:32
521,COMP‐39842,2160 Kruse Drive ,San Jose,95131,Vehicle,Trucks,8/1/2018 8:00
522,COMP‐39846,4 Ace Court ,Fairfax,94930,Stationary Source,Other Stationary Sources,8/27/2018 11:30
523,COMP‐39851,4344 Promenade Way ,Marina del Rey,90292,Stationary Source,Asbestos,8/29/2018 17:00
524,COMP‐39854,50 Main Street ,Rio Vista,94571,nan,nan,8/22/2018 17:00
525,COMP‐39856,nan,West Sacramento,95605,nan,nan,8/30/2018 17:00
526,COMP‐39857,nan,nan,nan,nan,nan,nan
527,COMP‐39858,nan,nan,nan,nan,nan,nan
528,COMP‐39859,337 Olympia Avenue,Seaside,93955,Vehicle,Cars,8/30/2018 17:00
529,COMP‐39860,nan,nan,nan,nan,nan,nan
530,COMP‐39864,905 A Street,Crockett,94525,Stationary Source,Dust,nan
531,COMP‐39865,8262 McFadden Avenue,Midway City,92655,Vehicle,Cars,9/2/2018 15:00
532,COMP‐39866,8262 West McFadden Avenue,Midway City,92655,Vehicle,nan,9/2/2018 17:00
533,COMP‐39868,512 Rose Avenue,Los Angeles,90291,Stationary Source,Other Stationary Sources,9/2/2018 5:09
534,COMP‐39870,nan,nan,nan,nan,nan,nan
535,COMP‐39871,nan,nan,nan,nan,nan,nan
536,COMP‐39872,nan,nan,nan,nan,nan,nan
537,COMP‐39874,nan,Oakdale,95361,nan,nan,nan
538,COMP‐39875,20250 Vandegrift Boulevard,Oceanside,92058,nan,nan,nan
539,COMP‐39876,nan,El Cajon,nan,nan,nan,nan
540,COMP‐39877,nan,Long Beach,nan,nan,nan,nan
541,COMP‐39878,nan,Long Beach,nan,nan,nan,nan
542,COMP‐39879,nan,Long Beach,nan,nan,nan,nan
543,COMP‐39880,9490 Kenwood Drive,Spring Valley,91977,Stationary Source,Asbestos,8/31/2018 15:00
544,COMP‐39890,nan,Los Angeles,nan,Vehicle,Trucks,8/29/2018 17:00
545,COMP‐39898,1060 Maxwell Drive,Santa Rosa,95401,Stationary Source,nan,nan
546,COMP‐39899,nan,nan,nan,nan,nan,nan
547,COMP‐39904,nan,Loyalton,96118,Stationary Source,nan,nan
548,COMP‐39910,767 Valencia Drive,Milpitas,95035,Stationary Source,Odors,9/6/2018 1:00
549,COMP‐39911,767 Valencia Drive,Milpitas,95035,Stationary Source,Odors,9/6/2018 1:00
550,COMP‐39912,1519 Platt Avenue,Milpitas,95035,nan,nan,9/6/2018 14:15
551,COMP‐39919,750 Coyote Street,Milpitas,95035,Stationary Source,Odors,9/7/2018 14:30
552,COMP‐39920,555 East Calaveras Boulevard,Milpitas,95035,Stationary Source,Odors,9/7/2018 14:00
553,COMP‐39923,4245 Verdigris Circle,San Jose,95134,Stationary Source,Odors,9/7/2018 19:00
554,COMP‐39924,nan,Carson,90746,Vehicle,Trucks,9/7/2018 17:00
555,COMP‐39925,nan,La Palma,90623,Vehicle,Trucks,nan
556,COMP‐39927,nan,Penngrove,94951,Stationary Source,Other Stationary Sources,9/9/2018 12:30
557,COMP‐40028,nan,nan,nan,nan,nan,nan
558,COMP‐40029,nan,nan,nan,nan,nan,nan
559,COMP‐40035,nan,Long Beach,90802,Stationary Source,Painting,9/10/2018 10:00
560,COMP‐40037,nan,Milpitas,95035,nan,nan,9/10/2018 13:00
561,COMP‐40039,nan,nan,nan,Stationary Source,Odors,9/10/2018 18:15
562,COMP‐10025,nan,Santa Fe Springs,90670,Stationary Source,Other Stationary Sources,7/13/2016 4:52
563,COMP‐10028,13623 Pumice St,Santa Fe Springs,90670,Stationary Source,Other Stationary Sources,7/13/2016 4:52
564,COMP‐10035,460 Wavecrest Road,Half Moon Bay,94019,nan,nan,7/28/2016 17:00
565,COMP‐10039,460 Wavecrest Road,Half Moon Bay,94019,nan,nan,7/28/2016 17:00
566,COMP‐10043,1015 Easy Street,Morgan Hill,95037,Stationary Source,Painting,7/28/2016 17:00
567,COMP‐10062,13800 Santa Teresa Boulevard,San Martin,95046,Stationary Source,Painting,7/29/2016 17:00
568,COMP‐10067,865 East St,Hollister,95023,Stationary Source,Odors,nan
569,COMP‐10087,nan,Williams,95987,Stationary Source,Odors,7/31/2016 14:00
570,COMP‐10095,nan,El Cerrito,94530,Vehicle,Cars,8/1/2016 17:00
571,COMP‐23564,nan,Milpitas,95035,nan,nan,7/16/2017 17:00
572,COMP‐23566,nan,Sacramento,95822,Stationary Source,Dust,nan
573,COMP‐23586,nan,Clovis,93612,nan,nan,7/17/2017 23:00
574,COMP‐23624,nan,Milpitas,95035,nan,nan,7/23/2017 15:00
575,COMP‐23626,nan,Milpitas,95035,nan,nan,7/23/2017 15:00
576,COMP‐25032,nan,Whittier,90605,Stationary Source,Smoke,nan
577,COMP‐25037,nan,Whittier,90605,Stationary Source,Smoke,nan
578,COMP‐25040,nan,San Jose,95134,nan,nan,7/25/2017 18:00
579,COMP‐25042,nan,Diamond Bar,91765,nan,nan,7/25/2017 5:00
580,COMP‐25055,2714 Eaton Canyon Drive,Pasadena,91107,nan,nan,12/14/2014 2:00
581,COMP‐25057,1901 Airport Road,South Lake Tahoe,96150,Vehicle,Other Vehicles,nan
